0,500,0,1
0,500,0,2
0,500,0,3
0,500,0,4
0,500,0,5
0,500,0,6
0,500,0,7
0,500,0,8
0,500,0,9
0,500,0,10
0,500,0,11
0,500,0,12
21,479,-2,13
72,428,-3,14
134,367,-3,15
198,302,-3,16
262,238,-4,17
342,159,-4,18
431,70,-4,19
519,-18,-5,20
622,-121,-6,21
726,-225,-5,22
840,-338,-6,23
960,-459,-6,24
1089,-587,-7,25
1222,-721,-7,26
1365,-863,-7,27
1512,-1010,-7,28
1670,-1168,-8,29
1831,-1329,-9,30
2000,-1498,-9,31
2177,-1675,-9,32
2361,-1858,-9,33
2550,-2047,-10,34
2747,-2243,-10,35
2951,-2447,-10,36
3162,-2658,-11,37
3380,-2875,-11,38
3603,-3099,-11,39
3835,-3330,-11,40
4074,-3569,-12,41
4319,-3814,-13,42
4572,-4066,-12,43
4831,-4325,-13,44
5096,-4590,-13,45
5369,-4862,-14,46
5648,-5141,-14,47
5934,-5427,-14,48
6228,-5720,-14,49
6530,-6022,-15,50
6837,-6329,-15,51
7150,-6641,-15,52
7472,-6962,-16,53
7801,-7292,-17,54
8135,-7625,-17,55
8477,-7967,-17,56
8826,-8316,-18,57
9181,-8670,-17,58
9544,-9033,-18,59
9913,-9401,-18,60
10287,-9775,-18,61
10667,-10154,-19,62
11054,-10541,-19,63
11448,-10934,-20,64
11847,-11333,-19,65
12258,-11743,-21,66
12676,-12161,-22,67
13102,-12585,-21,68
13527,-13010,-21,69
13963,-13446,-22,70
14407,-13889,-22,71
14858,-14340,-23,72
15317,-14798,-23,73
15783,-15263,-23,74
16256,-15736,-23,75
16736,-16216,-24,76
17224,-16703,-25,77
17718,-17196,-25,78
18220,-17697,-25,79
18727,-18204,-25,80
19243,-18719,-26,81
19768,-19243,-26,82
20299,-19773,-26,83
20831,-20305,-27,84
21372,-20845,-27,85
21921,-21421,-28,86
22477,-21977,-28,87
23041,-22541,-29,88
23614,-23113,-29,89
24193,-23691,-29,90
24775,-24273,-30,91
25365,-24863,-30,92
25965,-25462,-30,93
26570,-26067,-30,94
27183,-26679,-31,95
27802,-27298,-31,96
28430,-27925,-31,97
29065,-28560,-32,98
29703,-29198,-32,99
30351,-29845,-33,100
31006,-30499,-33,101
31668,-31161,-33,102
32337,-31829,-34,103
33013,-32504,-34,104
33696,-33187,-34,105
34396,-33886,-35,106
35105,-34595,-35,107
35814,-35303,-35,108
36522,-36011,-35,109
37231,-36719,-35,110
37940,-37428,-35,111
38654,-38141,-36,112
39394,-38880,-37,113
40140,-39625,-37,114
40893,-40378,-38,115
41654,-41138,-38,116
42421,-41904,-38,117
43196,-42679,-39,118
43978,-43460,-39,119
44766,-44248,-40,120
45563,-45043,-40,121
46364,-45844,-40,122
47174,-46654,-41,123
47992,-47471,-41,124
48817,-48295,-42,125
49648,-49125,-41,126
50485,-49962,-42,127
51331,-50806,-42,128
52183,-51658,-43,129
53043,-52516,-43,130
53909,-53382,-44,131
54783,-54255,-44,132
55663,-55135,-44,133
56551,-56022,-44,134
57446,-56916,-45,135
58348,-57816,-45,136
59256,-58724,-45,137
60172,-59639,-46,138
61095,-60561,-46,139
62026,-61491,-47,140
62963,-62428,-47,141
63908,-63372,-47,142
64860,-64322,-47,143
65819,-65280,-48,144
66784,-66245,-48,145
67757,-67217,-49,146
68736,-68195,-49,147
69722,-69180,-49,148
70716,-70173,-50,149
71717,-71173,-51,150
72724,-72179,-50,151
73739,-73194,-51,152
74762,-74215,-51,153
75792,-75244,-51,154
76849,-76299,-53,155
77912,-77361,-53,156
78975,-78423,-53,157
80038,-79486,-53,158
81101,-80601,-53,159
82164,-81663,-53,160
83227,-82726,-53,161
84290,-83788,-53,162
85353,-84850,-53,163
86416,-85913,-54,164
87479,-86975,-53,165
88380,-87878,-25,166
